9.5 	 _Z11badFunctioni 	 401978	 mov -0x38(%rbp),%rax
7.6 	 _Z11badFunctioni 	 401547	 mov %rcx,%rdi
2.7 	 _Z11badFunctioni 	 4018b3	 mov -0x38(%rbp),%rax
2.3 	 _Z12goodFunctioni 	 400df4	 mov %eax,(%rdx,%rsi,4)
2.2 	 _Z11badFunctioni 	 4017d0	 mov -0x38(%rbp),%rax
2.1 	 _Z11badFunctioni 	 401922	 addss %xmm1,%xmm0
1.9 	 _Z11badFunctioni 	 401889	 mov %r10,%r8
1.7 	 _Z11badFunctioni 	 401816	 mov %r10,%r8
1.7 	 _Z11badFunctioni 	 401571	 mov %r10,%r8
1.6 	 _Z11badFunctioni 	 4017ec	 mov %rcx,%rdi
1.5 	 _Z11badFunctioni 	 4018f9	 mov %r10,%r8
1.4 	 _Z11badFunctioni 	 4018a3	 imul %r8,%rdx
1.4 	 _Z11badFunctioni 	 40187a	 movslq %edx,%rdx
1.4 	 _Z11badFunctioni 	 40186d	 mov -0x38(%rbp),%rax
1.4 	 _Z11badFunctioni 	 401843	 mov -0x38(%rbp),%rax
1.4 	 _Z11badFunctioni 	 40183f	 addss %xmm1,%xmm0
1.4 	 _Z11badFunctioni 	 4017a5	 mov %r10,%r8
1.4 	 _Z11badFunctioni 	 401789	 mov -0x38(%rbp),%rax
1.3 	 _Z11badFunctioni 	 4018ea	 movslq %edx,%rdx
1.3 	 _Z11badFunctioni 	 4018cf	 mov %rcx,%rdi
1.3 	 _Z11badFunctioni 	 4018c0	 movslq %edx,%rdx
1.3 	 _Z11badFunctioni 	 401896	 mov -0x50(%rbp),%rax
1.3 	 _Z11badFunctioni 	 40185f	 mov %rcx,%rdi
1.3 	 _Z11badFunctioni 	 401850	 movslq %edx,%rdx
1.3 	 _Z11badFunctioni 	 401830	 movslq %edx,%rdx
1.3 	 _Z11badFunctioni 	 401823	 mov -0x68(%rbp),%eax
1.3 	 _Z11badFunctioni 	 401807	 movslq %edx,%rdx
1.2 	 _Z11badFunctioni 	 40196c	 movss 0x37c(%rip),%xmm1 # 401cf0 <_IO_stdin_used+0xc0>
1.2 	 _Z11badFunctioni 	 401926	 mov -0x38(%rbp),%rax
1.2 	 _Z11badFunctioni 	 401906	 mov -0x68(%rbp),%eax
1.2 	 _Z11badFunctioni 	 4018dd	 mov -0x38(%rbp),%rax
1.2 	 _Z11badFunctioni 	 4017fa	 mov -0x38(%rbp),%rax
1.2 	 _Z11badFunctioni 	 4017cc	 addss %xmm1,%xmm0
1.1 	 _Z11badFunctioni 	 401913	 movslq %edx,%rdx
1.1 	 _Z11badFunctioni 	 4017dd	 movslq %edx,%rdx
1.1 	 _Z11badFunctioni 	 401746	 movslq %edx,%rsi
1.0 	 _Z11badFunctioni 	 401950	 mov -0x38(%rbp),%rax
1.0 	 _Z11badFunctioni 	 401942	 mov %rcx,%rdi
1.0 	 _Z11badFunctioni 	 401933	 movslq %edx,%rdx
0.9 	 _Z11badFunctioni 	 40195d	 movslq %edx,%rdx
0.9 	 _Z11badFunctioni 	 4017c0	 imul %r8,%rdx
0.9 	 _Z11badFunctioni 	 40175f	 mov -0x38(%rbp),%rax
0.9 	 _Z11badFunctioni 	 40167d	 addss %xmm1,%xmm0
0.8 	 _Z11badFunctioni 	 4017e7	 movss %xmm0,(%rax,%rdx,4)
0.8 	 _Z11badFunctioni 	 4017b3	 mov -0x50(%rbp),%rax
0.7 	 _Z11badFunctioni 	 40199e	 cmp -0x64(%rbp),%eax
0.7 	 _Z11badFunctioni 	 401994	 addl $0x1,-0x64(%rbp)
0.7 	 _Z11badFunctioni 	 401985	 movslq %edx,%rdx
0.7 	 _Z11badFunctioni 	 401796	 movslq %edx,%rdx
0.7 	 _Z11badFunctioni 	 40157e	 mov -0x68(%rbp),%eax
0.6 	 _Z11badFunctioni 	 40177b	 mov %rcx,%rdi
0.6 	 _Z11badFunctioni 	 401537	 imul %rdi,%rax
0.6 	 _Z11badFunctioni 	 40152c	 mov -0x68(%rbp),%eax
0.5 	 _Z11badFunctioni 	 4017e4	 add %rsi,%rdx
0.5 	 _Z11badFunctioni 	 40176c	 movslq %edx,%rdx
0.5 	 _Z11badFunctioni 	 401555	 mov -0x38(%rbp),%rax
0.5 	 _Z11badFunctioni 	 401544	 mov %eax,(%rdx,%rsi,4)
0.4 	 _Z11badFunctioni 	 40183a	 movss (%rax,%rdx,4),%xmm0
0.4 	 _Z11badFunctioni 	 401804	 mov -0x64(%rbp),%edx
0.4 	 _Z11badFunctioni 	 4017e0	 imul %rdi,%rdx
0.4 	 _Z11badFunctioni 	 4015c8	 mov -0x38(%rbp),%rax
0.4 	 _Z11badFunctioni 	 401562	 movslq %edx,%rdx
0.3 	 _Z11badFunctioni 	 4018aa	 movss (%rax,%rdx,4),%xmm0
0.3 	 _Z11badFunctioni 	 401890	 mov -0x68(%rbp),%eax
0.3 	 _Z11badFunctioni 	 401874	 movslq %edx,%rsi
0.3 	 _Z11badFunctioni 	 401866	 mov %rcx,%r8
0.3 	 _Z11badFunctioni 	 401857	 add %rsi,%rdx
0.3 	 _Z11badFunctioni 	 40184a	 movslq %edx,%rsi
0.3 	 _Z11badFunctioni 	 40182d	 movslq %esi,%rsi
0.3 	 _Z11badFunctioni 	 401820	 lea -0x1(%rax),%edx
0.3 	 _Z11badFunctioni 	 401811	 movss (%rax,%rdx,4),%xmm1
0.3 	 _Z11badFunctioni 	 401753	 add %rsi,%rdx
0.3 	 _Z11badFunctioni 	 401738	 mov %r10,%r8
0.3 	 _Z11badFunctioni 	 401729	 movslq %edx,%rdx
0.3 	 _Z11badFunctioni 	 40171c	 mov -0x38(%rbp),%rax
0.3 	 _Z11badFunctioni 	 4016f2	 mov -0x38(%rbp),%rax
0.3 	 _Z11badFunctioni 	 401681	 mov -0x38(%rbp),%rax
0.3 	 _Z11badFunctioni 	 40160e	 mov -0x38(%rbp),%rax
0.3 	 _Z11badFunctioni 	 4015e4	 mov %r10,%r8
0.3 	 _Z11badFunctioni 	 4015ba	 mov %rcx,%rdi
0.3 	 _Z11badFunctioni 	 40159a	 addss %xmm1,%xmm0
0.3 	 _Z11badFunctioni 	 40158b	 movslq %edx,%rdx
0.2 	 _Z11badFunctioni 	 401974	 divss %xmm1,%xmm0
0.2 	 _Z11badFunctioni 	 401900	 mov -0x64(%rbp),%eax
0.2 	 _Z11badFunctioni 	 4018f1	 add %rsi,%rdx
0.2 	 _Z11badFunctioni 	 4018e4	 movslq %edx,%rsi
0.2 	 _Z11badFunctioni 	 4018d6	 mov %rcx,%r8
0.2 	 _Z11badFunctioni 	 4018c7	 add %rsi,%rdx
0.2 	 _Z11badFunctioni 	 4018ba	 movslq %edx,%rsi
0.2 	 _Z11badFunctioni 	 40189d	 mov -0x64(%rbp),%edx
0.2 	 _Z11badFunctioni 	 401881	 add %rsi,%rdx
0.2 	 _Z11badFunctioni 	 4017f6	 shr $0x2,%r8
0.2 	 _Z11badFunctioni 	 4017da	 mov -0x64(%rbp),%edx
0.2 	 _Z11badFunctioni 	 4017bd	 movslq %r9d,%rdx
0.2 	 _Z11badFunctioni 	 4017af	 lea 0x1(%rax),%r9d
0.2 	 _Z11badFunctioni 	 401793	 mov -0x64(%rbp),%edx
0.2 	 _Z11badFunctioni 	 40170e	 mov %rcx,%rdi
0.2 	 _Z11badFunctioni 	 4016c7	 mov %r10,%r8
0.2 	 _Z11badFunctioni 	 4016b8	 movslq %edx,%rdx
0.2 	 _Z11badFunctioni 	 40162a	 mov %rcx,%rdi
0.2 	 _Z11badFunctioni 	 40161b	 movslq %edx,%rdx
0.2 	 _Z11badFunctioni 	 4015d5	 movslq %edx,%rdx
0.2 	 _Z11badFunctioni 	 4015ab	 movslq %edx,%rdx
0.2 	 _Z11badFunctioni 	 4015a8	 mov -0x64(%rbp),%edx
0.2 	 _Z11badFunctioni 	 40159e	 mov -0x38(%rbp),%rax
0.1 	 _Z11badFunctioni 	 40199b	 sub $0x1,%eax
0.1 	 _Z11badFunctioni 	 401960	 imul %r8,%rdx
0.1 	 _Z11badFunctioni 	 401954	 mov -0x68(%rbp),%edx
0.1 	 _Z11badFunctioni 	 401945	 shr $0x2,%rdi
0.1 	 _Z11badFunctioni 	 401936	 imul %rdi,%rdx
0.1 	 _Z11badFunctioni 	 40192a	 mov -0x68(%rbp),%edx
0.1 	 _Z11badFunctioni 	 40191a	 add %rsi,%rdx
0.1 	 _Z11badFunctioni 	 40190c	 mov -0x50(%rbp),%rax
0.1 	 _Z11badFunctioni 	 40180e	 add %rsi,%rdx
0.1 	 _Z11badFunctioni 	 4017a0	 movss (%rax,%rdx,4),%xmm1
0.1 	 _Z11badFunctioni 	 401785	 shr $0x2,%r8
0.1 	 _Z11badFunctioni 	 401776	 movss %xmm0,(%rax,%rdx,4)
0.1 	 _Z11badFunctioni 	 401769	 mov -0x64(%rbp),%edx
0.1 	 _Z11badFunctioni 	 40175b	 addss %xmm1,%xmm0
0.1 	 _Z11badFunctioni 	 40174c	 movslq %edx,%rdx
0.1 	 _Z11badFunctioni 	 40173f	 mov -0x50(%rbp),%rax
0.1 	 _Z11badFunctioni 	 401723	 movslq %edx,%rsi
0.1 	 _Z11badFunctioni 	 4016ff	 movslq %edx,%rdx
0.1 	 _Z11badFunctioni 	 4016e2	 imul %r8,%rdx
0.1 	 _Z11badFunctioni 	 4016d5	 mov -0x50(%rbp),%rax
0.1 	 _Z11badFunctioni 	 4016ab	 mov -0x38(%rbp),%rax
0.1 	 _Z11badFunctioni 	 40169d	 mov %rcx,%rdi
0.1 	 _Z11badFunctioni 	 40168e	 movslq %edx,%rdx
0.1 	 _Z11badFunctioni 	 40166e	 movslq %edx,%rdx
0.1 	 _Z11badFunctioni 	 40166b	 movslq %esi,%rsi
0.1 	 _Z11badFunctioni 	 401661	 mov -0x68(%rbp),%eax
0.1 	 _Z11badFunctioni 	 40165e	 lea 0x1(%rax),%edx
0.1 	 _Z11badFunctioni 	 401654	 mov %r10,%r8
0.1 	 _Z11badFunctioni 	 40164f	 movss (%rax,%rdx,4),%xmm1
0.1 	 _Z11badFunctioni 	 401645	 movslq %edx,%rdx
0.1 	 _Z11badFunctioni 	 401642	 mov -0x64(%rbp),%edx
0.1 	 _Z11badFunctioni 	 401638	 mov -0x38(%rbp),%rax
0.1 	 _Z11badFunctioni 	 401634	 shr $0x2,%r8
0.1 	 _Z11badFunctioni 	 401625	 movss %xmm0,(%rax,%rdx,4)
0.1 	 _Z11badFunctioni 	 401618	 mov -0x64(%rbp),%edx
0.1 	 _Z11badFunctioni 	 40160a	 addss %xmm1,%xmm0
0.1 	 _Z11badFunctioni 	 4015fe	 imul %r8,%rdx
0.1 	 _Z11badFunctioni 	 4015fb	 movslq %edx,%rdx
0.1 	 _Z11badFunctioni 	 4015f1	 mov -0x50(%rbp),%rax
0.1 	 _Z11badFunctioni 	 4015ee	 lea -0x1(%rax),%edx
0.1 	 _Z11badFunctioni 	 4015df	 movss (%rax,%rdx,4),%xmm1
0.1 	 _Z11badFunctioni 	 4015d2	 mov -0x64(%rbp),%edx
0.1 	 _Z11badFunctioni 	 4015c4	 shr $0x2,%r8
0.1 	 _Z11badFunctioni 	 4015b5	 movss %xmm0,(%rax,%rdx,4)
0.1 	 _Z11badFunctioni 	 401588	 movslq %esi,%rsi
0.1 	 _Z12goodFunctioni 	 401228	 mov -0x38(%rbp),%rax
0.0 	 _Z11badFunctioni 	 4019ae	 sub $0x1,%eax
0.0 	 _Z11badFunctioni 	 4019ab	 mov -0x74(%rbp),%eax
0.0 	 _Z11badFunctioni 	 4019a1	 jg 401521 <_Z11badFunctioni+0x2a4>
0.0 	 _Z11badFunctioni 	 401998	 mov -0x74(%rbp),%eax
0.0 	 _Z11badFunctioni 	 40198f	 movss %xmm0,(%rax,%rdx,4)
0.0 	 _Z11badFunctioni 	 40198c	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 401988	 imul %rdi,%rdx
0.0 	 _Z11badFunctioni 	 401982	 mov -0x64(%rbp),%edx
0.0 	 _Z11badFunctioni 	 40197f	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 40197c	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 401967	 movss (%rax,%rdx,4),%xmm0
0.0 	 _Z11badFunctioni 	 401964	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 40195a	 mov -0x64(%rbp),%edx
0.0 	 _Z11badFunctioni 	 401957	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 40194c	 shr $0x2,%r8
0.0 	 _Z11badFunctioni 	 401949	 mov %rcx,%r8
0.0 	 _Z11badFunctioni 	 40193d	 movss %xmm0,(%rax,%rdx,4)
0.0 	 _Z11badFunctioni 	 40193a	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 401930	 mov -0x64(%rbp),%edx
0.0 	 _Z11badFunctioni 	 40192d	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 40191d	 movss (%rax,%rdx,4),%xmm0
0.0 	 _Z11badFunctioni 	 401916	 imul %r8,%rdx
0.0 	 _Z11badFunctioni 	 401910	 movslq %esi,%rsi
0.0 	 _Z11badFunctioni 	 401909	 lea 0x1(%rax),%esi
0.0 	 _Z11badFunctioni 	 401903	 lea 0x1(%rax),%edx
0.0 	 _Z11badFunctioni 	 4018fc	 shr $0x2,%r8
